class,class_size,tp,fp,fn,tn,P,N_total,AP,ROC_AUC,NDCG,NDCG_top10,TP,FP,FN,TN,TPR,TNR,PPV,NPV,FNR,FPR,FDR,FOR,TS,ACC,F1,F0_5,F2,MCC,BM,MK,LR+,LR-,ROC_AUC_micro,ROC_AUC_macro
Helicopter,405,3.450980392156863,6.549019607843137,3.6666666666666665,19374.333333333332,6.9411764705882355,19388.0,1.260059424041396,0.8238872323122797,0.6171867526352209,0.3838454431652856,3.450980392156863,6.549019607843137,3.6666666666666665,19374.333333333332,0.4729225023342671,0.9996620915105732,0.3450980392156863,0.9998107819864451,0.527077497665733,0.0003379084894268618,0.6549019607843137,0.00018921801355489042,0.29742463418934006,0.9994730923109909,0.4406539312902888,0.40357335066914996,0.48674769878103463,0.40292473548893176,0.4725845938448402,0.3449088212021314,2222.6109877057397,0.5273013508903476,0.8089908315692443,
House,367,1.5217391304347827,8.478260869565217,5.456521739130435,19372.543478260868,6.978260869565218,19388.0,0.37598025928937767,0.5560802514016124,0.46743317610682,0.1581431757678471,1.5217391304347827,8.478260869565217,5.456521739130435,19372.543478260868,0.21842650103519667,0.9995625482742557,0.15217391304347827,0.9997184166715279,0.7815734989648032,0.0004374517257442837,0.8478260869565217,0.000281583328472001,0.10833034718904284,0.99928126765996,0.25,0.22580102598603988,0.2800450323670137,0.1819477732849385,0.21798904930945243,0.15189232971500627,609.6578428472839,0.7819299285769508,0.563752758090927,
HumanHead,406,6.588235294117647,3.411764705882353,1.1176470588235294,19376.882352941175,6.96078431372549,19388.0,3.1338192342356934,0.9106258573810756,0.790321675126751,0.6897614484949304,6.588235294117647,3.411764705882353,1.1176470588235294,19376.882352941175,0.8389355742296919,0.9998239615013551,0.6588235294117647,0.9999423239210019,0.1610644257703081,0.00017603849864477112,0.34117647058823525,5.767607899801472e-05,0.6360975625681508,0.9997663806599595,0.7503345373237015,0.7008392959403927,0.8093977911530744,0.7420965573277521,0.8387595357310471,0.6587658533327666,7546.940653344671,0.1611252240902981,0.8952719064740495,
Humanoid,1131,5.73943661971831,4.26056338028169,2.1971830985915495,19375.802816901407,6.964788732394366,19388.0,5.387528625278225,0.7759542682491768,0.7407058562927686,0.5960923659426491,5.73943661971831,4.26056338028169,2.1971830985915495,19375.802816901407,0.6830985915492958,0.9997801675814766,0.573943661971831,0.9998866145578186,0.31690140845070425,0.000219832418523353,0.426056338028169,0.00011338544218141961,0.5453862745235984,0.9996669204415684,0.68789035625215,0.6554877125457028,0.7269131157897942,0.6241034440929932,0.6828787591307725,0.5738302765296496,5797.533705911077,0.31703648151794545,0.7558986042869162,
Insect,519,2.0153846153846153,7.984615384615385,4.969230769230769,19373.03076923077,6.984615384615385,19388.0,0.7542448179124165,0.6687038072546921,0.5455700141318468,0.22972804120454396,2.0153846153846153,7.984615384615385,4.969230769230769,19373.03076923077,0.2879120879120879,0.999588018809812,0.20153846153846153,0.9997435632795318,0.7120879120879121,0.00041198119018814844,0.7984615384615384,0.00025643672046809623,0.14685404339250493,0.9993318626906413,0.2802139037433155,0.25338491295938104,0.3133971291866028,0.24055895826693371,0.2875001067218998,0.20128202481799343,862.5609890109889,0.7123976308364243,0.6400884612891079,
Jet,1103,4.521739130434782,5.478260869565218,2.782608695652174,19375.217391304348,6.992753623188406,19388.0,4.259415288862527,0.7775396584475138,0.7112643751701144,0.47732625036206,4.521739130434782,5.478260869565218,2.782608695652174,19375.217391304348,0.6014492753623188,0.9997173378140025,0.45217391304347826,0.9998564037209384,0.39855072463768115,0.0002826621859974309,0.5478260869565217,0.00014359627906141881,0.40664091343439174,0.9995739184255613,0.5423024707405395,0.5004264821081916,0.5931223678179851,0.5205542150868562,0.6011666131763214,0.45203031676441685,4374.606054921969,0.3987114583166324,0.7452900013871565,
Knife,192,1.125,8.875,5.875,19372.125,7.0,19388.0,0.2559288785444432,0.8156541551096863,0.44680567833775875,0.1175075014254458,1.125,8.875,5.875,19372.125,0.1607142857142857,0.9995420772921934,0.1125,0.9996968211373723,0.8392857142857143,0.00045792270780661474,0.8875000000000001,0.00030317886262772216,0.0769345238095238,0.9992392201361667,0.226890756302521,0.2051671732522796,0.2537593984962406,0.13409047131084198,0.1602563630064791,0.11219682113737228,410.63768424036283,0.839680250180042,0.7893869146964766,
MilitaryVehicle,158,3.45,6.55,3.45,19374.55,6.9,19388.0,0.6261529848254351,0.8924339384441252,0.6048691912256068,0.3951752376468732,3.45,6.55,3.45,19374.55,0.5023809523809524,0.9996620417396708,0.34500000000000003,0.9998219630508824,0.4976190476190476,0.00033795826032931065,0.655,0.000178036949117556,0.28238136863136865,0.9994842170414688,0.45424836601307184,0.40882927330660906,0.511265909872721,0.4159371933543242,0.5020429941206231,0.3448219630508825,1876.0347789115644,0.4978151971670776,0.8888247137695355,
Monitor,160,0.55,9.45,6.45,19371.55,7.0,19388.0,0.090037661688076,0.4822254146532584,0.34851839707212273,0.07126013071170376,0.55,9.45,6.45,19371.55,0.07857142857142857,0.99951240906042,0.05500000000000001,0.9996671483125195,0.9214285714285714,0.00048759093958000103,0.945,0.00033285168748064815,0.035625000000000004,0.9991799050959356,0.16176470588235295,0.14627659574468085,0.1809210526315789,0.06533468246368804,0.07808383763184856,0.05466714831251938,180.73551587301586,0.9218821115784209,0.497756301423534,
Monoplane,159,1.15,8.85,5.8,19372.2,6.95,19388.0,0.14527887251881727,0.7594662835749423,0.40000674709084727,0.1073956130864929,1.15,8.85,5.8,19372.2,0.16785714285714284,0.9995433681470509,0.11500000000000002,0.9997006915058314,0.8321428571428571,0.0004566318529491796,0.885,0.00029930849416864484,0.07704441391941393,0.999244377965752,0.1818627450980392,0.16358310206598828,0.2048503611971104,0.13851807307845682,0.16740051100419368,0.11470069150583137,405.4224489795918,0.8325294619352339,0.7354370728309607,
Motorcycle,207,2.6538461538461537,7.346153846153846,4.3076923076923075,19373.69230769231,6.961538461538462,19388.0,0.6515313320834142,0.8818178339073862,0.5937000630104304,0.3461726218228651,2.6538461538461537,7.346153846153846,4.3076923076923075,19373.69230769231,0.3818681318681319,0.9996209617689804,0.2653846153846154,0.9997777019141453,0.618131868131868,0.00037903823101959684,0.7346153846153847,0.00022229808585469643,0.21264792899408286,0.9993989144752504,0.35390025575447565,0.3194505892289748,0.39675595638713146,0.3180090086070535,0.38148909363711236,0.26516231729876066,1446.47847985348,0.6183963475026168,0.8755486865475385,
Mug,207,2.9615384615384617,7.038461538461538,4.0,19374.0,6.961538461538462,19388.0,0.6449873135298003,0.8762584513330782,0.5655733817554341,0.3168665984406175,2.9615384615384617,7.038461538461538,4.0,19374.0,0.42765567765567764,0.9996368375410718,0.29615384615384616,0.9997935803488491,0.5723443223443223,0.0003631624589282255,0.7038461538461539,0.00020641965115078957,0.25387032838955914,0.9994306549650062,0.5053104575163399,0.4557251516085928,0.5671654626762985,0.35553813108709575,0.42729251519674943,0.29594742650269534,1869.0575832897264,0.5725984081724763,0.8727389188181381,
MultiSeat,358,2.3777777777777778,7.622222222222222,4.5777777777777775,19373.422222222223,6.955555555555556,19388.0,0.7309699206908609,0.7240482552225135,0.5445104055854932,0.2727734112956163,2.3777777777777778,7.622222222222222,4.5777777777777775,19373.422222222223,0.34444444444444444,0.9996067174237505,0.23777777777777775,0.9997637641770164,0.6555555555555556,0.00039328257624948845,0.7622222222222221,0.00023623582298368134,0.193002368002368,0.9993707447905921,0.3615546218487395,0.3258226509845381,0.40623617868199907,0.285808645359746,0.344051161868195,0.23754154195479413,1333.5791383219955,0.65584755280188,0.7221773851248707,
Musical_Instrument,166,1.0476190476190477,8.952380952380953,5.857142857142857,19372.14285714286,6.904761904761905,19388.0,0.1573489524368946,0.5905500719112634,0.3902698634019484,0.10674558265664852,1.0476190476190477,8.952380952380953,5.857142857142857,19372.14285714286,0.1530612244897959,0.9995380868280482,0.10476190476190476,0.9996977426536721,0.846938775510204,0.00046191317195174895,0.8952380952380953,0.0003022573463279418,0.07226800976800976,0.9992361499995087,0.21752450980392157,0.19561362935553497,0.2450980392156862,0.12620888037769604,0.15259931131784418,0.10445964741557681,391.87169312169306,0.8473399829492678,0.5777810613971143,
NonWheelChair,479,4.033333333333333,5.966666666666667,3.1333333333333333,19374.866666666665,6.983333333333333,19388.0,1.8080567739724556,0.8235038227062574,0.6563372860312957,0.43368034375315195,4.033333333333333,5.966666666666667,3.1333333333333333,19374.866666666665,0.5507936507936507,0.9996921379935201,0.4033333333333333,0.9998383046065985,0.4492063492063492,0.00030786200647994554,0.5966666666666666,0.00016169539340145183,0.3568382312132312,0.9995306375077367,0.5164720534087579,0.47302620983295846,0.5695178317110384,0.47067156326760046,0.5504857887871709,0.4031716379399318,3539.7664493575207,0.44939209610902775,0.801840165420941,
PianoBoard,159,1.75,8.25,5.2,19372.8,6.95,19388.0,0.26311591239263904,0.6244786905228332,0.44959244164794077,0.22851982120346254,1.75,8.25,5.2,19372.8,0.25476190476190474,0.9995743261688395,0.175,0.9997316544535039,0.7452380952380953,0.00042567383116047595,0.825,0.0002683455464960264,0.12648580586080588,0.9993062719207758,0.24394463667820065,0.21956793818359907,0.2745401566199235,0.21074211667111306,0.2543362309307443,0.174731654453504,724.0463151927437,0.7455706777203208,0.6037143572330329,
PlantIndoors,504,2.71875,7.28125,4.15625,19373.84375,6.875,19388.0,0.983852889995652,0.6798915332771693,0.575128216319308,0.3215323469532635,2.71875,7.28125,4.15625,19373.84375,0.39471726190476186,0.9996243125116404,0.271875,0.9997855170812261,0.6052827380952381,0.00037568748835961185,0.728125,0.00021448291877386726,0.2130084758991009,0.9994100732411801,0.3677783613445378,0.3312491740451962,0.41353383458646614,0.32721159695197655,0.39434157441640233,0.2716605170812261,1380.7010641061981,0.6055345522963658,0.6544780485580395,
