query,id,class,tp,fp,fn,tn,P,N_total,AP,ROC_AUC,NDCG,NDCG_top10,TP,FP,FN,TN,TPR,TNR,PPV,NPV,FNR,FPR,FDR,FOR,TS,ACC,F1,F0_5,F2,MCC,BM,MK,LR+,LR-
D00792_06_fill_holes_and_orientation.obj,d00792,Apartment,1,9,6,0,7,2437,0.16267616537147583,0.5432335780161868,0.41915582658494255,0.13886244387355456,1,9,6,0,0.14285714285714285,0.0,0.1,0.0,0.8571428571428571,1.0,0.9,1.0,0.0625,0.0625,0.11764705882352941,0.10638297872340426,0.13157894736842102,-0.8783100656536799,-0.8571428571428572,-0.9,0.14285714285714285,
D00859_06_fill_holes_and_orientation.obj,d00859,Apartment,2,8,5,0,7,2437,0.14119371715612475,0.45113871635610764,0.39250803095862596,0.16104258782393985,2,8,5,0,0.2857142857142857,0.0,0.2,0.0,0.7142857142857143,1.0,0.8,1.0,0.13333333333333333,0.13333333333333333,0.23529411764705882,0.2127659574468085,0.26315789473684204,-0.7559289460184545,-0.7142857142857143,-0.8,0.2857142857142857,
D00860_06_fill_holes_and_orientation.obj,d00860,Apartment,1,9,6,0,7,2437,0.21482053681243563,0.6435911914172784,0.4608829543999247,0.2200917662980802,1,9,6,0,0.14285714285714285,0.0,0.1,0.0,0.8571428571428571,1.0,0.9,1.0,0.0625,0.0625,0.11764705882352941,0.10638297872340426,0.13157894736842102,-0.8783100656536799,-0.8571428571428572,-0.9,0.14285714285714285,
D00869_06_fill_holes_and_orientation.obj,d00869,Apartment,0,10,7,0,7,2437,0.09303923064863563,0.6276679841897232,0.3631562037368661,0.0,0,10,7,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,-1.0,-1.0,-1.0,0.0,
D00921_06_fill_holes_and_orientation.obj,d00921,Apartment,1,9,6,0,7,2437,0.1063850349244183,0.6751741012610578,0.38007109502802855,0.06362078819895173,1,9,6,0,0.14285714285714285,0.0,0.1,0.0,0.8571428571428571,1.0,0.9,1.0,0.0625,0.0625,0.11764705882352941,0.10638297872340426,0.13157894736842102,-0.8783100656536799,-0.8571428571428572,-0.9,0.14285714285714285,
D00953_06_fill_holes_and_orientation.obj,d00953,Apartment,0,10,7,0,7,2437,0.03311255333088524,0.5299454169019386,0.30666733179772343,0.0,0,10,7,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,-1.0,-1.0,-1.0,0.0,
m463_06_fill_holes_and_orientation.obj,m463,Apartment,0,10,7,0,7,2437,0.07476074322097871,0.7322793148880105,0.35595040201993444,0.0,0,10,7,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,-1.0,-1.0,-1.0,0.0,
m464_06_fill_holes_and_orientation.obj,m464,Apartment,0,10,7,0,7,2437,0.06948685129193514,0.5502352719744024,0.350185796453574,0.0,0,10,7,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,-1.0,-1.0,-1.0,0.0,
m465_06_fill_holes_and_orientation.obj,m465,Apartment,1,9,6,0,7,2437,0.05177042838244646,0.39416525503482025,0.33170291991345224,0.06625422345438904,1,9,6,0,0.14285714285714285,0.0,0.1,0.0,0.8571428571428571,1.0,0.9,1.0,0.0625,0.0625,0.11764705882352941,0.10638297872340426,0.13157894736842102,-0.8783100656536799,-0.8571428571428572,-0.9,0.14285714285714285,
m53_06_fill_holes_and_orientation.obj,m53,AquaticAnimal,2,8,5,0,7,2437,0.6306259467488127,0.9039342246811126,0.6099429235887858,0.314880130667631,2,8,5,0,0.2857142857142857,0.0,0.2,0.0,0.7142857142857143,1.0,0.8,1.0,0.13333333333333333,0.13333333333333333,0.23529411764705882,0.2127659574468085,0.26315789473684204,-0.7559289460184545,-0.7142857142857143,-0.8,0.2857142857142857,
m54_06_fill_holes_and_orientation.obj,m54,AquaticAnimal,3,7,4,0,7,2437,0.5974963089762352,0.9114338404794837,0.575440188241818,0.29343678345195284,3,7,4,0,0.42857142857142855,0.0,0.3,0.0,0.5714285714285714,1.0,0.7,1.0,0.21428571428571427,0.21428571428571427,0.3529411764705882,0.3191489361702127,0.3947368421052631,-0.6324555320336759,-0.5714285714285714,-0.7,0.42857142857142855,
m55_06_fill_holes_and_orientation.obj,m55,AquaticAnimal,3,7,4,0,7,2437,0.6492968073959198,0.9195942830797603,0.5780220581962882,0.2832325164972662,3,7,4,0,0.42857142857142855,0.0,0.3,0.0,0.5714285714285714,1.0,0.7,1.0,0.21428571428571427,0.21428571428571427,0.3529411764705882,0.3191489361702127,0.3947368421052631,-0.6324555320336759,-0.5714285714285714,-0.7,0.42857142857142855,
m56_06_fill_holes_and_orientation.obj,m56,AquaticAnimal,7,3,0,0,7,2437,1.4066197603051773,0.9305517135392654,0.7632344598793679,0.8006937664098821,7,3,0,0,1.0,0.0,0.7,,0.0,1.0,0.3,,0.7,0.7,0.8235294117647058,0.7446808510638298,0.9210526315789475,,0.0,,1.0,
m57_06_fill_holes_and_orientation.obj,m57,AquaticAnimal,7,3,0,0,7,2437,0.9547168717282128,0.9052712463500845,0.6830898813787885,0.7167674835027339,7,3,0,0,1.0,0.0,0.7,,0.0,1.0,0.3,,0.7,0.7,0.8235294117647058,0.7446808510638298,0.9210526315789475,,0.0,,1.0,
m58_06_fill_holes_and_orientation.obj,m58,AquaticAnimal,0,10,7,0,7,2437,0.06446574162777748,0.6715537113877363,0.3409187277455973,0.0,0,10,7,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,-1.0,-1.0,-1.0,0.0,
m59_06_fill_holes_and_orientation.obj,m59,AquaticAnimal,1,9,6,0,7,2437,0.40326095607411944,0.9031197172276011,0.49683002551858874,0.06943122193677728,1,9,6,0,0.14285714285714285,0.0,0.1,0.0,0.8571428571428571,1.0,0.9,1.0,0.0625,0.0625,0.11764705882352941,0.10638297872340426,0.13157894736842102,-0.8783100656536799,-0.8571428571428572,-0.9,0.14285714285714285,
m60_06_fill_holes_and_orientation.obj,m60,AquaticAnimal,0,10,7,0,7,2437,0.31419453288021754,0.8934993084370677,0.46061846788301763,0.0,0,10,7,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,-1.0,-1.0,-1.0,0.0,
m61_06_fill_holes_and_orientation.obj,m61,AquaticAnimal,5,5,2,0,7,2437,0.8758015165333543,0.9117104656523743,0.667991113928219,0.5619107241149829,5,5,2,0,0.7142857142857143,0.0,0.5,0.0,0.2857142857142857,1.0,0.5,1.0,0.4166666666666667,0.4166666666666667,0.588235294117647,0.5319148936170213,0.6578947368421053,-0.37796447300922725,-0.2857142857142857,-0.5,0.7142857142857143,
m62_06_fill_holes_and_orientation.obj,m62,AquaticAnimal,2,8,5,0,7,2437,0.41225303783119066,0.9005378822806209,0.5074892591572174,0.15840915256850252,2,8,5,0,0.2857142857142857,0.0,0.2,0.0,0.7142857142857143,1.0,0.8,1.0,0.13333333333333333,0.13333333333333333,0.23529411764705882,0.2127659574468085,0.26315789473684204,-0.7559289460184545,-0.7142857142857143,-0.8,0.2857142857142857,
m63_06_fill_holes_and_orientation.obj,m63,AquaticAnimal,1,9,6,0,7,2437,0.15615937664890114,0.7940064545873675,0.407744907342904,0.06943122193677728,1,9,6,0,0.14285714285714285,0.0,0.1,0.0,0.8571428571428571,1.0,0.9,1.0,0.0625,0.0625,0.11764705882352941,0.10638297872340426,0.13157894736842102,-0.8783100656536799,-0.8571428571428572,-0.9,0.14285714285714285,
m64_06_fill_holes_and_orientation.obj,m64,AquaticAnimal,6,4,1,0,7,2437,1.189587942706316,0.9274627324419855,0.7315849617978283,0.6901935063354876,6,4,1,0,0.8571428571428571,0.0,0.6,0.0,0.14285714285714285,1.0,0.4,1.0,0.5454545454545454,0.5454545454545454,0.7058823529411764,0.6382978723404255,0.7894736842105262,-0.23904572186687872,-0.1428571428571429,-0.4,0.8571428571428571,
m65_06_fill_holes_and_orientation.obj,m65,AquaticAnimal,0,10,7,0,7,2437,0.058250148415192986,0.6499615798370986,0.3332877097638436,0.0,0,10,7,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,-1.0,-1.0,-1.0,0.0,
m66_06_fill_holes_and_orientation.obj,m66,AquaticAnimal,0,10,7,0,7,2437,0.11364004571313036,0.772552635623175,0.3813570493502778,0.0,0,10,7,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,-1.0,-1.0,-1.0,0.0,
m67_06_fill_holes_and_orientation.obj,m67,AquaticAnimal,7,3,0,0,7,2437,1.2834411603164533,0.9184570462578762,0.7398449679315321,0.8006937664098821,7,3,0,0,1.0,0.0,0.7,,0.0,1.0,0.3,,0.7,0.7,0.8235294117647058,0.7446808510638298,0.9210526315789475,,0.0,,1.0,
m68_06_fill_holes_and_orientation.obj,m68,AquaticAnimal,3,7,4,0,7,2437,0.4977954120643286,0.8921008145074535,0.5513833370647495,0.29736948361453563,3,7,4,0,0.42857142857142855,0.0,0.3,0.0,0.5714285714285714,1.0,0.7,1.0,0.21428571428571427,0.21428571428571427,0.3529411764705882,0.3191489361702127,0.3947368421052631,-0.6324555320336759,-0.5714285714285714,-0.7,0.42857142857142855,
