class,class_size,tp,fp,fn,tn,P,N_total,AP,ROC_AUC,NDCG,NDCG_top10,TP,FP,FN,TN,TPR,TNR,PPV,NPV,FNR,FPR,FDR,FOR,TS,ACC,F1,F0_5,F2,MCC,BM,MK,LR+,ROC_AUC_micro,ROC_AUC_macro
Hat,15,0.7333333333333333,9.266666666666667,6.266666666666667,0.0,7.0,2437.0,0.1323642161203468,0.7714580508224752,0.3855998187885472,0.08092144531592033,0.7333333333333333,9.266666666666667,6.266666666666667,0.0,0.10476190476190476,0.0,0.07333333333333333,0.0,0.8952380952380953,1.0,0.9266666666666666,1.0,0.0475,0.0475,0.16176470588235295,0.14627659574468085,0.1809210526315789,-0.9106224777549176,-0.8952380952380953,-0.9266666666666666,0.10476190476190476,0.7762498280368688,
Helicopter,51,3.372549019607843,6.627450980392157,3.6470588235294117,0.0,6.9411764705882355,2437.0,1.4608679475528112,0.8805472452910783,0.6477017640262184,0.3888307337152601,3.372549019607843,6.627450980392157,3.6470588235294117,0.0,0.47572362278244634,0.0,0.3372549019607843,0.0,0.5242763772175537,1.0,0.6627450980392157,1.0,0.28072434101845867,0.28072434101845867,0.4371373072493681,0.39679621194896325,0.487016914018617,-0.6617731929959766,-0.5242763772175537,-0.7272727272727273,0.47572362278244634,0.8787202692013496,
House,46,1.2608695652173914,8.73913043478261,5.717391304347826,0.0,6.978260869565218,2437.0,0.30740558952912694,0.5367480975231448,0.45609153965585586,0.14816343806940405,1.2608695652173914,8.73913043478261,5.717391304347826,0.0,0.18064182194616976,0.0,0.12608695652173912,0.0,0.8193581780538303,1.0,0.8739130434782609,1.0,0.08616519350215002,0.08616519350215002,0.2069964349376114,0.1870462254366047,0.231729055258467,-0.8456025530413577,-0.8193581780538303,-0.8739130434782609,0.18064182194616976,0.535407521325373,
HumanHead,51,6.7254901960784315,3.2745098039215685,1.0,0.0,6.96078431372549,2437.0,2.678907024611609,0.8960904244395705,0.7680930238282971,0.7033047942648046,6.7254901960784315,3.2745098039215685,1.0,0.0,0.8557422969187676,0.0,0.6725490196078431,0.0,0.14425770308123248,1.0,0.32745098039215687,1.0,0.6447946661181956,0.6447946661181956,0.7644453044375645,0.7146676357869697,0.8248026075418725,-0.43172361964886513,-0.1634920634920635,-0.5476190476190477,0.8365079365079365,0.886871702047503,
Humanoid,142,5.845070422535211,4.154929577464789,1.9577464788732395,0.0,6.964788732394366,2437.0,5.7375106069129105,0.8110933373985479,0.7544289606358047,0.6093623439585233,5.845070422535211,4.154929577464789,1.9577464788732395,0.0,0.7181421864520456,0.0,0.5845070422535211,0.0,0.2818578135479544,1.0,0.4154929577464789,1.0,0.5588356772335646,0.5588356772335646,0.6847792210143522,0.6463993149442732,0.7306688543175912,-0.6414612915780454,-0.3227726574500768,-0.7132352941176471,0.6772273425499232,0.7943646494058478,
Insect,65,1.9692307692307693,8.03076923076923,5.015384615384615,0.0,6.984615384615385,2437.0,0.8015394961443093,0.7105566631009109,0.5502851572608171,0.22182982526275555,1.9692307692307693,8.03076923076923,5.015384615384615,0.0,0.2816849816849817,0.0,0.19692307692307692,0.0,0.7183150183150183,1.0,0.8030769230769231,1.0,0.14256109275340045,0.14256109275340045,0.2790032679738562,0.2522098879638195,0.3121775025799793,-0.75793614333247,-0.7183150183150183,-0.8030769230769231,0.2816849816849817,0.6986096388861875,
Jet,138,4.782608695652174,5.217391304347826,2.572463768115942,0.0,6.992753623188406,2437.0,5.253167825000945,0.8445235467001504,0.7431058723530268,0.5134551510532085,4.782608695652174,5.217391304347826,2.572463768115942,0.0,0.6318150448585231,0.0,0.4782608695652174,0.0,0.36818495514147687,1.0,0.5217391304347826,1.0,0.4326328562741606,0.4326328562741606,0.5673732943469786,0.5246099252640815,0.619245839935031,-0.606792293335889,-0.3791755508173419,-0.6827956989247311,0.6208244491826581,0.8275227262713395,
Knife,24,0.875,9.125,6.125,0.0,7.0,2437.0,0.231203519933436,0.8278265072103551,0.44057273386111384,0.09249170776081576,0.875,9.125,6.125,0.0,0.125,0.0,0.08750000000000001,0.0,0.875,1.0,0.9125,1.0,0.059002976190476196,0.059002976190476196,0.22459893048128343,0.20309477756286265,0.2511961722488038,-0.8931422890474633,-0.875,-0.9125,0.125,0.7973874345104442,
MilitaryVehicle,20,3.3,6.7,3.6,0.0,6.9,2437.0,0.55779651281436,0.8744580122763483,0.5843339463933124,0.3769399322369514,3.3,6.7,3.6,0.0,0.4809523809523809,0.0,0.33,0.0,0.5190476190476191,1.0,0.67,1.0,0.26681714119214117,0.26681714119214117,0.434640522875817,0.3910987768527084,0.4893360853113175,-0.6097972037380286,-0.5190476190476191,-0.6894736842105263,0.4809523809523809,0.867678594749902,
Monitor,20,0.9,9.1,6.1,0.0,7.0,2437.0,0.11355599625200641,0.4970310391363023,0.36193269889083907,0.10663598470742916,0.9,9.1,6.1,0.0,0.12857142857142856,0.0,0.09,0.0,0.8714285714285713,1.0,0.9099999999999999,1.0,0.06222985347985348,0.06222985347985348,0.21176470588235294,0.19148936170212766,0.23684210526315783,-0.8898896478422499,-0.8714285714285716,-0.9099999999999999,0.12857142857142856,0.5174530930303426,
Monoplane,20,1.65,8.35,5.3,0.0,6.95,2437.0,0.20118211748642273,0.8263625876104654,0.43750018228077014,0.16169087482694328,1.65,8.35,5.3,0.0,0.23809523809523808,0.0,0.165,0.0,0.7619047619047619,1.0,0.835,1.0,0.11505494505494504,0.11505494505494504,0.2292387543252595,0.2067802143984328,0.25723911855763976,-0.7968057904200136,-0.761904761904762,-0.835,0.23809523809523808,0.8191274868312219,
Motorcycle,26,2.1538461538461537,7.846153846153846,4.8076923076923075,0.0,6.961538461538462,2437.0,0.5196101284842034,0.8668478122209465,0.5546726951895824,0.29490235892161454,2.1538461538461537,7.846153846153846,4.8076923076923075,0.0,0.31043956043956045,0.0,0.21538461538461537,0.0,0.6895604395604396,1.0,0.7846153846153847,1.0,0.1647267796306258,0.1647267796306258,0.3147759103641456,0.2840183251839126,0.3530886038625976,-0.7321047813911878,-0.6895604395604397,-0.7846153846153847,0.31043956043956045,0.8585350368473215,
Mug,26,2.6153846153846154,7.384615384615385,4.346153846153846,0.0,6.961538461538462,2437.0,0.5142127950557651,0.8099738487051921,0.5273837356141224,0.27805038054613235,2.6153846153846154,7.384615384615385,4.346153846153846,0.0,0.37820512820512825,0.0,0.26153846153846155,0.0,0.6217948717948718,1.0,0.7384615384615384,1.0,0.2183590448013525,0.2183590448013525,0.42298761609907115,0.38134768002337016,0.47498777904513606,-0.7176655293232196,-0.6217948717948718,-0.775,0.37820512820512825,0.8039852512585004,
MultiSeat,45,2.2222222222222223,7.777777777777778,4.7555555555555555,0.0,6.955555555555556,2437.0,0.6910603030323951,0.7232316900724758,0.5400531863948912,0.25346290100019553,2.2222222222222223,7.777777777777778,4.7555555555555555,0.0,0.3164021164021164,0.0,0.2222222222222222,0.0,0.6835978835978836,1.0,0.7777777777777778,1.0,0.17048275798275797,0.17048275798275797,0.32616194625998546,0.29527272415801553,0.364432322636657,-0.7409718758435407,-0.6835978835978836,-0.7909090909090909,0.3164021164021164,0.7097967556889414,
Musical_Instrument,21,1.4285714285714286,8.571428571428571,5.476190476190476,0.0,6.904761904761905,2437.0,0.21503852373550586,0.6283931280414524,0.42728870323033985,0.1646113689024346,1.4285714285714286,8.571428571428571,5.476190476190476,0.0,0.2074829931972789,0.0,0.14285714285714285,0.0,0.7925170068027211,1.0,0.8571428571428571,1.0,0.0973530437816152,0.0973530437816152,0.19730392156862744,0.1776904101140919,0.22187822497420015,-0.8235191166576105,-0.7925170068027211,-0.8571428571428571,0.2074829931972789,0.628630815172573,
NonWheelChair,60,3.6,6.4,3.566666666666667,0.0,6.983333333333333,2437.0,1.5667023983773132,0.8036656640675115,0.63129881447583,0.37780884808518167,3.6,6.4,3.566666666666667,0.0,0.4884920634920635,0.0,0.36000000000000004,0.0,0.5115079365079365,1.0,0.64,1.0,0.3141829698079698,0.3141829698079698,0.496328689370485,0.45543053484113344,0.546239640020768,-0.6758147491549445,-0.5115079365079365,-0.7387755102040817,0.4884920634920635,0.7781944107868898,
PianoBoard,20,2.25,7.75,4.7,0.0,6.95,2437.0,0.3547120441535269,0.6412030386139045,0.48231733002352967,0.28704321245863906,2.25,7.75,4.7,0.0,0.3273809523809524,0.0,0.225,0.0,0.6726190476190477,1.0,0.775,1.0,0.17933836996336996,0.17933836996336996,0.41006787330316735,0.3691382622927489,0.46141938556799234,-0.7168612127026772,-0.6726190476190477,-0.775,0.3273809523809524,0.6320782726045884,
PlantIndoors,64,2.109375,7.890625,4.765625,0.0,6.875,2437.0,0.8770768025928006,0.687256998769741,0.5587332087341268,0.26002126538225134,2.109375,7.890625,4.765625,0.0,0.3054315476190476,0.0,0.2109375,0.0,0.6945684523809523,1.0,0.7890625,1.0,0.1582100841866467,0.1582100841866467,0.3069852941176471,0.27667579876183024,0.34487377947130265,-0.7380299535182303,-0.6945684523809524,-0.7890625,0.3054315476190476,0.6757027231756313,
PlantWildNonTree,26,0.6538461538461539,9.346153846153847,6.3076923076923075,0.0,6.961538461538462,2437.0,0.14977206789395295,0.6986611812731216,0.40200435795963013,0.08039839027818248,0.6538461538461539,9.346153846153847,6.3076923076923075,0.0,0.0934065934065934,0.0,0.06538461538461539,0.0,0.9065934065934065,1.0,0.9346153846153846,1.0,0.043246336996336995,0.043246336996336995,0.16666666666666666,0.15070921985815602,0.1864035087719298,-0.920216561575728,-0.9065934065934067,-0.9346153846153846,0.0934065934065934,0.6844661308840414,
Quadruped,57,4.43859649122807,5.56140350877193,2.8947368421052633,0.0,6.9298245614035086,2437.0,1.687109729515157,0.813675042288628,0.6490887812104961,0.4764354762513428,4.43859649122807,5.56140350877193,2.8947368421052633,0.0,0.5818713450292398,0.0,0.443859649122807,0.0,0.41812865497076024,1.0,0.5561403508771929,1.0,0.4076075240548925,0.4076075240548925,0.5498060053981106,0.50963825720995,0.5986879085378211,-0.6926925688624173,-0.42559523809523814,-0.754054054054054,0.5744047619047619,0.8028357576892782,
RectangleTable,59,3.6271186440677967,6.372881355932203,3.440677966101695,0.0,6.983050847457627,2437.0,1.7583574295413915,0.7372096434096416,0.6371757836948438,0.38671693715001754,3.6271186440677967,6.372881355932203,3.440677966101695,0.0,0.5060532687651332,0.0,0.36271186440677966,0.0,0.4939467312348668,1.0,0.6372881355932204,1.0,0.31811063230554754,0.31811063230554754,0.5083296476485331,0.46272829583418257,0.5643100653141282,-0.6701508581801807,-0.4939467312348668,-0.7340425531914894,0.5060532687651332,0.7420207493601152,
Rocket,19,0.8947368421052632,9.105263157894736,6.052631578947368,0.0,6.947368421052632,2437.0,0.13757724212316672,0.7306544920935383,0.3915255763016397,0.1134887602874871,0.8947368421052632,9.105263157894736,6.052631578947368,0.0,0.12907268170426064,0.0,0.08947368421052633,0.0,0.8709273182957393,1.0,0.9105263157894737,1.0,0.06027568922305764,0.06027568922305764,0.20073529411764707,0.1810823311748381,0.2252321981424148,-0.8901033457116775,-0.8709273182957393,-0.9105263157894737,0.12907268170426064,0.7284399906302457,
RoundTable,36,1.6111111111111112,8.38888888888889,5.388888888888889,0.0,7.0,2437.0,0.4555595789437009,0.728046733542154,0.49723491456880364,0.18585730355327623,1.6111111111111112,8.38888888888889,5.388888888888889,0.0,0.23015873015873012,0.0,0.1611111111111111,0.0,0.7698412698412699,1.0,0.8388888888888889,1.0,0.11981166981166982,0.11981166981166982,0.2966751918158568,0.2682701202590194,0.3318077803203661,-0.8015024798629129,-0.7698412698412699,-0.8388888888888889,0.23015873015873012,0.7155523505544321,
Shelf,43,1.3255813953488371,8.674418604651162,5.674418604651163,0.0,7.0,2437.0,0.34840491020146863,0.5932680903598998,0.4701827133536493,0.16129831772893097,1.3255813953488371,8.674418604651162,5.674418604651163,0.0,0.1893687707641196,0.0,0.1325581395348837,0.0,0.8106312292358804,1.0,0.8674418604651162,1.0,0.091111891983985,0.091111891983985,0.2394957983193277,0.21656534954407294,0.2678571428571428,-0.8379259734924229,-0.8106312292358804,-0.8674418604651162,0.1893687707641196,0.5780390987925162,
Ship,62,1.564516129032258,8.435483870967742,5.354838709677419,0.0,6.919354838709677,2437.0,0.6987667164418461,0.6679625667925508,0.5258528893937103,0.18735406239247346,1.564516129032258,8.435483870967742,5.354838709677419,0.0,0.22503840245775728,0.0,0.1564516129032258,0.0,0.7749615975422427,1.0,0.8435483870967742,1.0,0.11330423608649415,0.11330423608649415,0.29336349924585214,0.2648307597428782,0.3288481384456616,-0.8071899799175298,-0.7749615975422428,-0.8435483870967742,0.22503840245775728,0.6674290972707921,
Sign,9,0.4444444444444444,9.555555555555555,6.555555555555555,0.0,7.0,2437.0,0.05192936601382955,0.49014226247655635,0.2930899988155622,0.08236591661521096,0.4444444444444444,9.555555555555555,6.555555555555555,0.0,0.06349206349206349,0.0,0.044444444444444446,0.0,0.9365079365079365,1.0,0.9555555555555555,1.0,0.027777777777777776,0.027777777777777776,0.11764705882352941,0.10638297872340426,0.13157894736842102,-0.9459155847349687,-0.9365079365079365,-0.9555555555555555,0.06349206349206349,0.5084447697319936,
