query,id,class,tp,fp,fn,tn,P,N_total,AP,ROC_AUC,NDCG,NDCG_top10,TP,FP,FN,TN,TPR,TNR,PPV,NPV,FNR,FPR,FDR,FOR,TS,ACC,F1,F0_5,F2,MCC,BM,MK,LR+,LR-
m1347_06_fill_holes_and_orientation.obj,m1347,AircraftBuoyant,2,8,5,0,7,2437,0.14059531962515814,0.5391136801541425,0.40525110906824396,0.20511666732794362,2,8,5,0,0.2857142857142857,0.0,0.2,0.0,0.7142857142857143,1.0,0.8,1.0,0.13333333333333333,0.13333333333333333,0.23529411764705882,0.2127659574468085,0.26315789473684204,-0.7559289460184545,-0.7142857142857143,-0.8,0.2857142857142857,
m1348_06_fill_holes_and_orientation.obj,m1348,AircraftBuoyant,2,8,5,0,7,2437,0.21308893662068557,0.43432424993118635,0.4545559654806821,0.3052348839397012,2,8,5,0,0.2857142857142857,0.0,0.2,0.0,0.7142857142857143,1.0,0.8,1.0,0.13333333333333333,0.13333333333333333,0.23529411764705882,0.2127659574468085,0.26315789473684204,-0.7559289460184545,-0.7142857142857143,-0.8,0.2857142857142857,
m1349_06_fill_holes_and_orientation.obj,m1349,AircraftBuoyant,0,10,7,0,7,2437,0.021274878541908793,0.5248830167905312,0.28069573405119663,0.0,0,10,7,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,-1.0,-1.0,-1.0,0.0,
m1350_06_fill_holes_and_orientation.obj,m1350,AircraftBuoyant,1,9,6,0,7,2437,0.043898151382088864,0.5710432149738508,0.31338300794558405,0.07839826897867534,1,9,6,0,0.14285714285714285,0.0,0.1,0.0,0.8571428571428571,1.0,0.9,1.0,0.0625,0.0625,0.11764705882352941,0.10638297872340426,0.13157894736842102,-0.8783100656536799,-0.8571428571428572,-0.9,0.14285714285714285,
m1351_06_fill_holes_and_orientation.obj,m1351,AircraftBuoyant,1,9,6,0,7,2437,0.0818615918737915,0.5338012661712084,0.35557530255532765,0.1100458831490401,1,9,6,0,0.14285714285714285,0.0,0.1,0.0,0.8571428571428571,1.0,0.9,1.0,0.0625,0.0625,0.11764705882352941,0.10638297872340426,0.13157894736842102,-0.8783100656536799,-0.8571428571428572,-0.9,0.14285714285714285,
m1352_06_fill_holes_and_orientation.obj,m1352,AircraftBuoyant,2,8,5,0,7,2437,0.12865855407163862,0.4808422791081751,0.3786230489923444,0.17993148201117182,2,8,5,0,0.2857142857142857,0.0,0.2,0.0,0.7142857142857143,1.0,0.8,1.0,0.13333333333333333,0.13333333333333333,0.23529411764705882,0.2127659574468085,0.26315789473684204,-0.7559289460184545,-0.7142857142857143,-0.8,0.2857142857142857,
D00045_06_fill_holes_and_orientation.obj,d00045,Apartment,1,9,6,0,7,2437,0.2789331560497681,0.7991718426501035,0.473128511840807,0.1100458831490401,1,9,6,0,0.14285714285714285,0.0,0.1,0.0,0.8571428571428571,1.0,0.9,1.0,0.0625,0.0625,0.11764705882352941,0.10638297872340426,0.13157894736842102,-0.8783100656536799,-0.8571428571428572,-0.9,0.14285714285714285,
D00086_06_fill_holes_and_orientation.obj,d00086,Apartment,0,10,7,0,7,2437,0.05992698901138603,0.49145492188970447,0.3396816300144861,0.0,0,10,7,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,-1.0,-1.0,-1.0,0.0,
D00138_06_fill_holes_and_orientation.obj,d00138,Apartment,0,10,7,0,7,2437,0.0177573782667358,0.22081686429512515,0.2706874052744914,0.0,0,10,7,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,-1.0,-1.0,-1.0,0.0,
D00156_06_fill_holes_and_orientation.obj,d00156,Apartment,3,7,4,0,7,2437,0.4012232851838644,0.7169772256728777,0.5433184574453422,0.35314377643380923,3,7,4,0,0.42857142857142855,0.0,0.3,0.0,0.5714285714285714,1.0,0.7,1.0,0.21428571428571427,0.21428571428571427,0.3529411764705882,0.3191489361702127,0.3947368421052631,-0.6324555320336759,-0.5714285714285714,-0.7,0.42857142857142855,
D00310_06_fill_holes_and_orientation.obj,d00310,Apartment,0,10,7,0,7,2437,0.060683620190519316,0.6493882928665536,0.33938314855910584,0.0,0,10,7,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,-1.0,-1.0,-1.0,0.0,
D00348_06_fill_holes_and_orientation.obj,d00348,Apartment,1,9,6,0,7,2437,0.12495202618965971,0.6030679465462074,0.3911420680566018,0.08514311764162101,1,9,6,0,0.14285714285714285,0.0,0.1,0.0,0.8571428571428571,1.0,0.9,1.0,0.0625,0.0625,0.11764705882352941,0.10638297872340426,0.13157894736842102,-0.8783100656536799,-0.8571428571428572,-0.9,0.14285714285714285,
D00366_06_fill_holes_and_orientation.obj,d00366,Apartment,2,8,5,0,7,2437,0.25897231026118106,0.5060606060606061,0.4772556388603788,0.3052348839397012,2,8,5,0,0.2857142857142857,0.0,0.2,0.0,0.7142857142857143,1.0,0.8,1.0,0.13333333333333333,0.13333333333333333,0.23529411764705882,0.2127659574468085,0.26315789473684204,-0.7559289460184545,-0.7142857142857143,-0.8,0.2857142857142857,
D00478_06_fill_holes_and_orientation.obj,d00478,Apartment,1,9,6,0,7,2437,0.2166353525639574,0.6859025032938075,0.462495276696392,0.2200917662980802,1,9,6,0,0.14285714285714285,0.0,0.1,0.0,0.8571428571428571,1.0,0.9,1.0,0.0625,0.0625,0.11764705882352941,0.10638297872340426,0.13157894736842102,-0.8783100656536799,-0.8571428571428572,-0.9,0.14285714285714285,
D00496_06_fill_holes_and_orientation.obj,d00496,Apartment,1,9,6,0,7,2437,0.10956533554427704,0.670318087709392,0.38334806201473925,0.07839826897867534,1,9,6,0,0.14285714285714285,0.0,0.1,0.0,0.8571428571428571,1.0,0.9,1.0,0.0625,0.0625,0.11764705882352941,0.10638297872340426,0.13157894736842102,-0.8783100656536799,-0.8571428571428572,-0.9,0.14285714285714285,
D00626_06_fill_holes_and_orientation.obj,d00626,Apartment,0,10,7,0,7,2437,0.05317289829793896,0.6762469414643327,0.3312689357872242,0.0,0,10,7,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,-1.0,-1.0,-1.0,0.0,
D00639_06_fill_holes_and_orientation.obj,d00639,Apartment,0,10,7,0,7,2437,0.10820515695761605,0.7904950122341425,0.3820147009494217,0.0,0,10,7,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,-1.0,-1.0,-1.0,0.0,
D00651_06_fill_holes_and_orientation.obj,d00651,Apartment,3,7,4,0,7,2437,0.40575149157286095,0.7167890080933559,0.5448150045726607,0.3557772116892466,3,7,4,0,0.42857142857142855,0.0,0.3,0.0,0.5714285714285714,1.0,0.7,1.0,0.21428571428571427,0.21428571428571427,0.3529411764705882,0.3191489361702127,0.3947368421052631,-0.6324555320336759,-0.5714285714285714,-0.7,0.42857142857142855,
D00681_06_fill_holes_and_orientation.obj,d00681,Apartment,2,8,5,0,7,2437,0.30902355851825225,0.8128176171654432,0.48351569812411294,0.17993148201117182,2,8,5,0,0.2857142857142857,0.0,0.2,0.0,0.7142857142857143,1.0,0.8,1.0,0.13333333333333333,0.13333333333333333,0.23529411764705882,0.2127659574468085,0.26315789473684204,-0.7559289460184545,-0.7142857142857143,-0.8,0.2857142857142857,
D00780_06_fill_holes_and_orientation.obj,d00780,Apartment,0,10,6,0,6,2437,0.03819470130160341,0.542875964615095,0.30427070195197303,0.0,0,10,6,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,-1.0,-1.0,-1.0,0.0,
D00792_06_fill_holes_and_orientation.obj,d00792,Apartment,1,9,6,0,7,2437,0.23908833846800231,0.5365518539431583,0.4716593610975306,0.2200917662980802,1,9,6,0,0.14285714285714285,0.0,0.1,0.0,0.8571428571428571,1.0,0.9,1.0,0.0625,0.0625,0.11764705882352941,0.10638297872340426,0.13157894736842102,-0.8783100656536799,-0.8571428571428572,-0.9,0.14285714285714285,
