class,class_size,tp,fp,fn,tn,P,N_total,AP,ROC_AUC,TP,FP,FN,TN,TPR,TNR,PPV,NPV,FNR,FPR,FDR,FOR,TS,ACC,F1,F0_5,F2,MCC,BM,MK,LR+,LR-,ROC_AUC_micro,ROC_AUC_macro
DeskLamp,247,1.3225806451612903,8.67741935483871,5.645161290322581,19372.354838709678,6.967741935483871,19388.0,0.30506530248858194,0.7480940446993759,1.3225806451612903,8.67741935483871,5.645161290322581,19372.354838709678,0.19047619047619047,0.9995522725328833,0.132258064516129,0.9997086819439404,0.8095238095238095,0.0004477274671167776,0.8677419354838709,0.00029131805605958204,0.0934095474418055,0.9992612656981039,0.24191176470588233,0.2183163737280296,0.2712848297213622,0.15833516681957194,0.1900284630090737,0.13196674646006948,517.6289956842952,0.8098999865399824,0.734894236243838,
DeskPhone,160,1.05,8.95,5.95,19372.05,7.0,19388.0,0.16316210237774992,0.7527817683165731,1.05,8.95,5.95,19372.05,0.15,0.9995382075228317,0.10500000000000001,0.9996929507689132,0.85,0.00046179247716836075,0.8949999999999999,0.00030704923108679943,0.06997023809523809,0.9992314833917888,0.1900452488687783,0.1718494271685761,0.21255060728744934,0.1251223249394741,0.14953820752283165,0.1046929507689132,364.76712018140586,0.8503996973745924,0.724827391058291,
Door,336,2.3333333333333335,7.666666666666667,4.666666666666667,19373.333333333332,7.0,19388.0,0.5131992263743163,0.5880515629029412,2.3333333333333335,7.666666666666667,4.666666666666667,19373.333333333332,0.3333333333333333,0.9996044235763548,0.23333333333333334,0.9997591770736575,0.6666666666666666,0.0003955764236451508,0.7666666666666667,0.00024082292634258783,0.17239774114774115,0.9993638676844784,0.30340557275541796,0.2743561030235162,0.3393351800554016,0.27857727396065823,0.33293775690968824,0.23309251040699078,1007.1381330309903,0.666947939321657,0.5867832718819846,
Drum,159,1.4,8.6,5.55,19372.45,6.95,19388.0,0.182325938112315,0.737040181097906,1.4,8.6,5.55,19372.45,0.2011904761904762,0.9995562676444673,0.13999999999999999,0.9997135927340283,0.7988095238095239,0.0004437323555328299,0.86,0.0002864072659717205,0.09761675824175824,0.9992701671136786,0.25395927601809953,0.2293104675158329,0.2845915694212907,0.16745414907292377,0.20074674383494337,0.13971359273402828,532.1360922146636,0.7991762165242251,0.7473588437595229,
Fish,160,5.35,4.65,1.75,19376.25,7.0,19388.0,1.1311431213188088,0.9712354708110226,5.35,4.65,1.75,19376.25,0.75,0.9997600737670957,0.5349999999999999,0.9999096914026214,0.25,0.00023992623290425885,0.465,9.030859737847044e-05,0.4821162171162171,0.99966989890654,0.6241830065359476,0.5673758865248226,0.693922305764411,0.6331170984694742,0.7497600737670957,0.5349096914026215,4017.8818027210887,0.25008037109965553,0.9686381742196682,
FloorLamp,199,0.68,9.32,6.28,19371.72,6.96,19388.0,0.11586153273801525,0.6414504765851637,0.68,9.32,6.28,19371.72,0.09714285714285714,0.9995191177254891,0.068,0.9996759211476933,0.9028571428571428,0.00048088227451085667,0.932,0.00032407885230673956,0.0435,0.9991953785846915,0.14285714285714285,0.12917933130699089,0.15977443609022554,0.08088075093034157,0.09666197486834628,0.0676759211476933,218.42079365079363,0.9032948968886774,0.6350340654786573,
Glasses,152,3.4210526315789473,6.578947368421052,3.6315789473684212,19374.36842105263,7.0,19388.0,0.6797725902512223,0.9231788303610065,3.4210526315789473,6.578947368421052,3.6315789473684212,19374.36842105263,0.48120300751879697,0.9996605462669647,0.34210526315789475,0.9998125926851394,0.518796992481203,0.00033945373303526896,0.6578947368421053,0.00018740731486058525,0.29100154231733183,0.9994733584528683,0.47467320261437906,0.431072695035461,0.5282738095238095,0.4053895391210911,0.4808635537857618,0.34191785584303414,2268.49209332856,0.5190143378542472,0.9083426439222371,
Guitar,159,0.95,9.05,6.0,19372.0,6.95,19388.0,0.20429486570486405,0.8363806538679205,0.95,9.05,6.0,19372.0,0.1357142857142857,0.999533049161402,0.095,0.9996903705232738,0.8642857142857142,0.0004669508385980414,0.905,0.0003096294767261843,0.06505952380952382,0.9992237466474109,0.24836601307189543,0.2245862884160756,0.27777777777777773,0.11316639822300331,0.13524733487568769,0.09469037052327381,347.1879818594104,0.8646994259779064,0.8387483675068564,
Gun,463,1.5689655172413792,8.431034482758621,5.413793103448276,19372.58620689655,6.982758620689655,19388.0,0.6458897945844607,0.7175858002002979,1.5689655172413792,8.431034482758621,5.413793103448276,19372.58620689655,0.22454844006568145,0.9995649849606959,0.1568965517241379,0.999720621679046,0.7754515599343186,0.0004350150393040781,0.843103448275862,0.00027937832095408584,0.11063849943160288,0.9992859073867234,0.24914500683994528,0.2251898543553557,0.27881776945784426,0.18734345537137595,0.22411342502637738,0.15661717340318385,613.3127133995359,0.7758022879121095,0.71484943123003,
Hand,292,4.054054054054054,5.945945945945946,2.918918918918919,19375.08108108108,6.891891891891892,19388.0,1.2043409443705966,0.8910401446844597,4.054054054054054,5.945945945945946,2.918918918918919,19375.08108108108,0.5791505791505791,0.9996932087690649,0.40540540540540543,0.9998493694437548,0.42084942084942084,0.0003067912309351375,0.5945945945945946,0.00015063055624517076,0.35101250101250103,0.9995427653773021,0.47609916417965953,0.4308720262863252,0.532683232239027,0.48389093767447994,0.578843787919644,0.4052547748491602,2990.184991113563,0.42101224516830643,0.8760303438618781,
Hat,120,0.9333333333333333,9.066666666666666,6.066666666666666,19371.933333333334,7.0,19388.0,0.14372291548755214,0.7889786372658846,0.9333333333333333,9.066666666666666,6.066666666666666,19371.933333333334,0.13333333333333333,0.9995321878816023,0.09333333333333332,0.9996869301957546,0.8666666666666667,0.0004678121183977435,0.9066666666666666,0.0003130698042453641,0.06246031746031746,0.9992194484560898,0.1830065359477124,0.16548463356973994,0.20467836257309935,0.11117187502845734,0.13286552121493558,0.093020263529088,327.4114512471655,0.8670796406380455,0.7798793310142876,
Helicopter,405,4.215686274509804,5.784313725490196,2.8823529411764706,19375.117647058825,6.9411764705882355,19388.0,1.813170610905869,0.9073765576611876,4.215686274509804,5.784313725490196,2.8823529411764706,19375.117647058825,0.5840336134453782,0.9997015475648577,0.4215686274509804,0.9998512564278472,0.4159663865546218,0.00029845243514218904,0.5784313725490197,0.00014874357215277482,0.37691891441891445,0.9995529881026064,0.5420676851976488,0.4945150444845919,0.6004638946415298,0.4955909290314197,0.583735161010236,0.4214198838788276,3461.6628429149437,0.41613736536651735,0.9045539862773929,
House,367,0.782608695652174,9.217391304347826,6.195652173913044,19371.804347826088,6.978260869565218,19388.0,0.24699021288808926,0.5367111385778682,0.782608695652174,9.217391304347826,6.195652173913044,19371.804347826088,0.11180124223602483,0.9995244115325213,0.0782608695652174,0.9996802739099023,0.888198757763975,0.0004755884674786521,0.9217391304347826,0.0003197260900976903,0.05285873546743112,0.9992050214834814,0.18414322250639387,0.16651248843663274,0.20594965675057203,0.09314962995402609,0.1113256537685462,0.07794114347511974,280.4063639948733,0.8886290485566416,0.5386324680953596,
HumanHead,406,7.607843137254902,2.392156862745098,0.6862745098039216,19377.313725490196,6.96078431372549,19388.0,4.0308473881616065,0.9606520614110746,7.607843137254902,2.392156862745098,0.6862745098039216,19377.313725490196,0.9014939309056956,0.9998765703393956,0.7607843137254902,0.9999645848637732,0.09850606909430439,0.00012342966060446093,0.23921568627450981,3.541513622685115e-05,0.7450506193153251,0.9998412197559032,0.8372746818025456,0.7985870351841013,0.8833742925087655,0.825887430200249,0.9013705012450911,0.7607488985892634,9024.031432748538,0.09854248098235152,0.9561609171297752,
Humanoid,1131,5.901408450704225,4.098591549295775,1.7816901408450705,19376.218309859156,6.964788732394366,19388.0,6.334063256968656,0.8441166154512266,5.901408450704225,4.098591549295775,1.7816901408450705,19376.218309859156,0.7429577464788732,0.9997885244361487,0.5901408450704225,0.999908056035667,0.25704225352112675,0.0002114755638513275,0.4098591549295775,9.194396433301014e-05,0.5603823113506212,0.9996967050912863,0.6937067115403376,0.650406710242328,0.7459362036422889,0.6603994391307956,0.742746270915022,0.5900489011060895,6284.262882318281,0.25714603607624886,0.8327361961027245,
Insect,519,2.4,7.6,4.584615384615384,19373.415384615386,6.984615384615385,19388.0,1.1755970910210252,0.8009793672404292,2.4,7.6,4.584615384615384,19373.415384615386,0.3435897435897436,0.9996078636989869,0.24,0.9997634113229118,0.6564102564102564,0.00039213630101320347,0.76,0.00023658867708821262,0.18065633084863855,0.9993715383028359,0.33395721925133687,0.3018249095954924,0.3737686462144666,0.2868441433232079,0.34319760728873044,0.2397634113229118,1097.936150357579,0.6566879043403113,0.7861542420026081,
