approach,class,AP,ROC_AUC,ROC_AUC_micro,F1,MCC
matrix_minmax_optimized,Monoplane,0.14527887251881727,0.7594662835749423,0.7354370728309607,0.1818627450980392,0.13851807307845682
matrix_minmax_optimized,Motorcycle,0.6515313320834142,0.8818178339073862,0.8755486865475385,0.35390025575447565,0.3180090086070535
matrix_minmax_optimized,Mug,0.6449873135298003,0.8762584513330782,0.8727389188181381,0.5053104575163399,0.35553813108709575
matrix_minmax_optimized,MultiSeat,0.7309699206908609,0.7240482552225135,0.7221773851248707,0.3615546218487395,0.285808645359746
matrix_minmax_optimized,Musical_Instrument,0.1573489524368946,0.5905500719112634,0.5777810613971143,0.21752450980392157,0.12620888037769604
matrix_minmax_optimized,NonWheelChair,1.8080567739724556,0.8235038227062574,0.801840165420941,0.5164720534087579,0.47067156326760046
matrix_minmax_optimized,PianoBoard,0.26311591239263904,0.6244786905228332,0.6037143572330329,0.24394463667820065,0.21074211667111306
matrix_minmax_optimized,PlantIndoors,0.983852889995652,0.6798915332771693,0.6544780485580395,0.3677783613445378,0.32721159695197655
matrix_minmax_optimized,PlantWildNonTree,0.11626072691335278,0.6628453884424034,0.6300695241740017,0.14460784313725492,0.050527415066295794
matrix_minmax_optimized,Quadruped,1.814619724575534,0.820553062622958,0.811739600849719,0.5829647648533097,0.5058393768636339
matrix_minmax_optimized,RectangleTable,1.3670245287932035,0.7190370446255702,0.706470633619694,0.4203802733214497,0.31762495832343013
matrix_minmax_optimized,Rocket,0.10088650647716571,0.7085282449613077,0.6986884761565584,0.21568627450980393,0.0687977583740614
matrix_minmax_optimized,RoundTable,0.4097089795272208,0.724149187846107,0.7047471463374877,0.25980392156862747,0.1756096674745823
matrix_minmax_optimized,Shelf,0.39159543347489656,0.6086922043663316,0.5914079134297477,0.25951557093425603,0.20812981926050728
matrix_minmax_optimized,Ship,0.637578341141606,0.6523758206069153,0.6386889298068739,0.29352146263910966,0.1777775282497521
matrix_minmax_optimized,Sign,0.053010923963633876,0.49125154384520386,0.4785145032503342,0.1568627450980392,0.05271284682991098
matrix_minmax_optimized,Skyscraper,0.15145154273692582,0.5674317617866005,0.521148186844282,0.16806722689075632,0.11914516247058193
matrix_minmax_optimized,Spoon,0.15683791712210904,0.7408309943937976,0.7236180789433605,0.23529411764705882,0.11285012464181272
matrix_minmax_optimized,Starship,0.16095637675777782,0.6732321946294634,0.648947362884384,0.15178571428571427,0.06931113665270228
matrix_minmax_optimized,SubmachineGun,0.21294252565191255,0.7941426146010186,0.7942092203212747,0.21176470588235294,0.16099491042494568
matrix_minmax_optimized,Sword,1.449845677709081,0.8288087183595954,0.8217686587510016,0.5352941176470588,0.4529585652561536
matrix_minmax_optimized,Tool,0.9467953963760293,0.6913022469754032,0.6532053743916839,0.6043064155486756,0.4519303004805207
