query,id,class,tp,fp,fn,tn,P,N_total,AP,ROC_AUC,TP,FP,FN,TN,TPR,TNR,PPV,NPV,FNR,FPR,FDR,FOR,TS,ACC,F1,F0_5,F2,MCC,BM,MK,LR+,LR-
D00869_06_fill_holes_and_orientation.obj,d00869,Apartment,0,10,7,19371,7,19388,0.07136565867059277,0.661509504987766,0,10,7,19371,0.0,0.9994840307517672,0.0,0.9996387656104861,1.0,0.0005159692482328053,1.0,0.0003612343895138817,0.0,0.9991231689704972,,,,-0.0004317242596766064,-0.0005159692482328282,-0.00036123438951385367,0.0,1.0005162356099324
D00921_06_fill_holes_and_orientation.obj,d00921,Apartment,2,8,5,19373,7,19388,0.2629702176786687,0.7137022397891963,2,8,5,19373,0.2857142857142857,0.9995872246014138,0.2,0.9997419754360615,0.7142857142857143,0.00041277539858624424,0.8,0.0002580245639384869,0.13333333333333333,0.9993294821539096,0.23529411764705882,0.2127659574468085,0.26315789473684204,0.23871884564346754,0.2853015103156995,0.19974197543606143,692.1785714285714,0.7145806756089108
D00953_06_fill_holes_and_orientation.obj,d00953,Apartment,0,10,7,19371,7,19388,0.05842725260717823,0.5802371541501976,0,10,7,19371,0.0,0.9994840307517672,0.0,0.9996387656104861,1.0,0.0005159692482328053,1.0,0.0003612343895138817,0.0,0.9991231689704972,,,,-0.0004317242596766064,-0.0005159692482328282,-0.00036123438951385367,0.0,1.0005162356099324
m463_06_fill_holes_and_orientation.obj,m463,Apartment,1,9,6,19372,7,19388,0.16262254333638423,0.8065123282514587,1,9,6,19372,0.14285714285714285,0.9995356276765904,0.1,0.9996903705232738,0.8571428571428571,0.0004643723234095248,0.9,0.0003096294767261843,0.0625,0.9992263255622035,0.11764705882352941,0.10638297872340426,0.13157894736842102,0.11914356069189547,0.14239277053373334,0.0996903705232739,307.6349206349206,0.857541075484499
m464_06_fill_holes_and_orientation.obj,m464,Apartment,0,10,7,19371,7,19388,0.03679322051392431,0.5231695840391493,0,10,7,19371,0.0,0.9994840307517672,0.0,0.9996387656104861,1.0,0.0005159692482328053,1.0,0.0003612343895138817,0.0,0.9991231689704972,,,,-0.0004317242596766064,-0.0005159692482328282,-0.00036123438951385367,0.0,1.0005162356099324
m465_06_fill_holes_and_orientation.obj,m465,Apartment,0,10,7,19371,7,19388,0.04099577900682309,0.4413325804630152,0,10,7,19371,0.0,0.9994840307517672,0.0,0.9996387656104861,1.0,0.0005159692482328053,1.0,0.0003612343895138817,0.0,0.9991231689704972,,,,-0.0004317242596766064,-0.0005159692482328282,-0.00036123438951385367,0.0,1.0005162356099324
m53_06_fill_holes_and_orientation.obj,m53,AquaticAnimal,3,7,4,19374,7,19388,0.7228249058192724,0.8445673889657292,3,7,4,19374,0.42857142857142855,0.9996388215262371,0.3,0.9997935803488492,0.5714285714285714,0.00036117847376296373,0.7,0.00020641965115078957,0.21428571428571427,0.9994326387456158,0.3529411764705882,0.3191489361702127,0.3947368421052631,0.3582941305950396,0.42821025009766567,0.2997935803488492,1186.5918367346937,0.5716350336975917
m54_06_fill_holes_and_orientation.obj,m54,AquaticAnimal,4,6,3,19375,7,19388,0.6305701879481075,0.8463808206546796,4,6,3,19375,0.5714285714285714,0.9996904184510603,0.4,0.9998451852616369,0.42857142857142855,0.00030958154893968317,0.6,0.00015481473836309216,0.3076923076923077,0.9995357953373221,0.47058823529411764,0.425531914893617,0.5263157894736841,0.4778694155466117,0.5711189898796318,0.3998451852616369,1845.8095238095239,0.4287041474654378
m55_06_fill_holes_and_orientation.obj,m55,AquaticAnimal,5,5,2,19376,7,19388,0.8737284442094492,0.8552942984478253,5,5,2,19376,0.7142857142857143,0.9997420153758836,0.5,0.9998967901744246,0.2857142857142857,0.00025798462411640266,0.5,0.00010320982557539478,0.4166666666666667,0.9996389519290283,0.588235294117647,0.5319148936170213,0.6578947368421053,0.5974447004981838,0.714027729661598,0.4998967901744247,2768.714285714286,0.28578801462781644
m56_06_fill_holes_and_orientation.obj,m56,AquaticAnimal,5,5,2,19376,7,19388,0.9570690325780858,0.8676502228369448,5,5,2,19376,0.7142857142857143,0.9997420153758836,0.5,0.9998967901744246,0.2857142857142857,0.00025798462411640266,0.5,0.00010320982557539478,0.4166666666666667,0.9996389519290283,0.588235294117647,0.5319148936170213,0.6578947368421053,0.5974447004981838,0.714027729661598,0.4998967901744247,2768.714285714286,0.28578801462781644
